ID,CategoryID,Query
1,1,edifier
2,2,умная колонка яндекс станция лайт
3,3,чехол iphone 14 pro
4,4,zte
5,5,ноутбук huawei matebook b3-520 53012kfg
6,1,мультимедиа акустика sven ms-2050bl
7,6,ssd samsung 870 evo 500gb
8,7,"кабели, переходники baseus"
9,8,переходник сетевой robiton travelenergy
10,9,держатели для смартфонов авто
11,10,tcl
12,3,защитное стекло для iphone 12 mini
13,11,батареи для ибп 1207
14,4,мобильный телефон nokia 150 ds / та-1582 (черный)
16,3,защитное стекло для телефона case antistatic для redmi note 13 (черный)
17,7,адаптер atcom at6851 displayport(m) - vga(f) (0.1м)
18,4,смартфон xiaomi redmi note 12 pro 8gb/256gb (polar white)
19,12,бокс для жесткого диска gembird ee2-u3s-55
20,13,батарейка camelion 6lr61 plus alkaline bl-1 / 6lr61-bp1
23,14,venso
25,15,радиочасы soundmax sm-1520b (черный/зеленый)
26,16,умные часы детские prolike plsw02pp (сиреневый)
27,17,ремешок для mi band 6
28,18,материнская плата msi pro z790-a max wifi
29,19,21 век
31,3,защитное стекло apple 11 pro
32,4,смартфон apple iphone 15 pro 512gb a3102 / a3101 (белый титан)
33,20,мыши и клавиатуры defender
34,9,держатель для смартфонов xiaomi mi wireless car charger wcj02zm / gds4127gl
35,7,кабель cablexpert pc-186-1-1.8m
36,6,жесткий диск western digital purple 2tb (wd23purz)
38,10,телевизор horizont 24le5511d (черный)
39,7,кабель 5bites hdmi apc-014-200 (20м)
40,4,смартфоны huawei p60 pro
41,3,чехол на apple 13
42,4,xiaomi 13t
43,22,usb flash netac um2 usb3.2 128gb
44,4,14 айфон
46,4,xiaomi redmi note 12s
47,10,телевизор samsung ue50au7100uxce
48,23,беспроводная точка доступа asus zenwifi ax mini xd4 (b-2-pk) / 90ig05n0-mo3r30
49,24,игровая приставка sony playstation 5 с дисководом ultrahd blu-ray / cfi-1208a
50,3,защитное стекло ксяоми редми 10
51,3,чехоло honor x6a
52,4,xiaomi redmi 12c
53,8,"сетевой фильтр power cube spg(5+1)-16b-5м (5м, белый)"
54,23,усилители беспроводных сигналов tp-link
55,7,hdmi 10м
58,5,ноутбук asus vivobook 14 x1402za-eb664
59,13,зарядное устройство для аккумуляторов liitokala lii-500s
60,15,термогигрометр xiaomi mi temperature and humidity monitor 2 lywsd03mmc
62,4,смартфон realme c67 8gb/256gb / rmx3890 (black rock)
63,7,дата -кабель
64,24,nintendo switch
67,0,pg27ff1a
68,11,батарея для ибп npp lifepo4 12.8v 18ah / nsfd018q10-lfp
69,13,комплект аккумуляторов camelion nh-aaa1000bp2 (2шт)
70,4,защищенный смартфон armor x13
71,25,зарядное устройство айфон
72,10,телевизор h
73,26,kromax flat-2
74,14,наушники sony wh-ch520
75,16,умные часы amazfit bip 3 pro / a2171 (черный)
76,10,43ur78006lk
77,27,корпус для компьютера deepcool cc560 argb (r-cc560-bktaa4-g-1)
78,0,монитор aoc 24b1h
